negocio	texto	estrellas	estilo
Restaurante	Vajilla y mantelería a la altura del menú.	4	breve
Bar de carretera	Tardaron mucho para ser un bar de carretera.	2	breve
Cafetería	Repostería artesanal de altísima calidad servida con una presentación impecable.	5	formal
Cafetería	El servicio de limpieza de las zonas comunes se realiza de manera intermitente.	3	neutral
Pub	El ambiente es sano, pero no me gustó que no aceptaran tarjeta para pagos de menos de 10 euros.	3	coloquial
Bar	La tarta del postre parecía industrial.	2	neutral
Cervecería	El local tiene una decoración muy chula, pero las mesas bailan mucho y es incómodo para comer; nivelarlas sería un arreglo sencillo.	3	constructivo
Cafetería	La calidad del agua utilizada para las infusiones es la adecuada para el consumo.	3	neutral
Bar	Vaya timo. Pedí un montadito y el pan estaba crujiente de verdad. Se nota que no saben lo que es el pan chicle de toda la vida.	4	sarcástico
Cafetería	El barista me enseñó a diferenciar los granos, muy profesional, pero el local estaba un poco desordenado.	4	anecdótico
Restaurante	¡Experiencia de otro nivel! La privacidad y el confort del salón privado hicieron nuestra cena mágica.	5	entusiasta
Cervecería	Personal con escasa formación técnica que desconoce los estilos que está sirviendo.	2	formal
Cervecería	Ayer llovió y nos dejaron quedar dentro con la bici. Un puntazo de amabilidad. La cerveza artesana es de lo mejor del barrio. La limpieza del baño podría mejorar.	4	anecdótico
Cervecería	Ayer el local estaba a tope, pero el servicio fue tan fluido que nunca tuve el vaso vacío. Es un arte gestionar un sitio así de bien.	5	anecdótico
Cafetería	El personal de seguridad o acceso mostró una actitud distante y poco colaboradora.	1	neutral
Pub	El barman me enseñó a distinguir los tipos de ginebra mientras preparaba mi copa. Salí de allí siendo un experto.	5	anecdótico
Bar de carretera	El aire acondicionado es un concepto abstracto en este local. Por suerte, la cerveza está tan fría que te congela hasta las ideas.	4	sarcástico
Bar de carretera	El pan estaba tan crujiente que se oyó el mordisco en el parking. El relleno de panceta era una oda al colesterol del bueno.	4	sarcástico
Restaurante	El aperitivo de bienvenida fue excelente, pero el pan no estaba a la altura del resto.	3	constructivo
Bar	El trato recibido por el encargado fue inadecuada.	1	neutral
Bar	Muy buen ambiente para tomar algo con amigos.	4	breve
Bar	El aire acondicionado estaba tan fuerte que tuvimos que estar con la chaqueta puesta dentro del local. Muy incómodo.	3	crítico
Mesón	La comida es casera y las raciones son correctas.	4	neutral
Mesón	Un ambiente de pueblo súper auténtico. Me ha encantado la experiencia.	5	coloquial
Bar de carretera	El pan de la tostada estaba tan duro que ahora tengo cita con el dentista. Al menos el tomate no era de bote, creo.	2	sarcástico
Mesón	Entorno rústico y tranquilo durante los días de diario.	4	neutral
Bar	La cerveza no estaba lo suficientemente fría y apenas tenía gas. Una decepción para un sitio que se llama a sí mismo bar.	2	crítico
Mesón	Un lugar de referencia para quienes buscan autenticidad y un servicio de sala con solera.	5	formal
Bar de carretera	Mucha desorganización entre los camareros. Nos trajeron la bebida cuando ya casi habíamos terminado de comer.	3	crítico
Bar de carretera	Baños muy antiguos y con un olor fuerte. El bocadillo de tortilla era lo único que se salvaba de la experiencia.	3	crítico
Cafetería	Café excelente y trato inmejorable.	5	breve
Pub	Servicio profesional pero excesivamente lento en las mesas de la planta superior.	3	formal
Bar	Si valoras tu dignidad, no vengas. Acabarás pidiendo pan para rebañar la salsa de las gambas delante de todo el mundo.	5	sarcástico
Bar de carretera	Me cobraron de más. Ladrones.	1	breve
Cafetería	Bastante normalito, algo caro.	3	breve
Cafetería	Decoración minimalista agradable que favorece la concentración. Personal atento.	4	formal
Bar de carretera	Trato maleducado e irrespetuoso hacia los transportistas y viajeros. Pésima gestión.	1	formal
Mesón	Local sin aire acondicionado hace calor en verano.	3	neutral
Bar de carretera	Excelente tortilla y café muy rico.	5	breve
Cafetería	Tostadas increíbles y café caliente.	5	breve
Cafetería	La presentación de las tostadas es sencilla y los ingredientes son de gama media.	3	neutral
Mesón	Raciones de queso y jamón bien cortadas y de buena procedencia.	5	neutral
Cafetería	Una experiencia lamentable. El café con leche llegó frío y cuando pedí que lo calentaran pusieron mala cara.	1	crítico
Restaurante	La vajilla es una obra de arte. Consultad la historia de los artesanos locales que la fabrican.	5	constructivo
Bar	La cerveza está bien tirada y sale fría. Las raciones de embutido son correctas.	4	neutral
Bar	El picoteo de bienvenida (aceitunas) estaba un poco pasado de sabor. Mejor no poner nada si no está en buen estado.	3	crítico
Bar de carretera	Si buscas una dieta detox radical, prueba su menú del día. Tu cuerpo expulsará hasta los pecados de tu infancia en menos de una hora.	2	sarcástico
Cervecería	El café es de muy baja calidad comparado con el nivel de las cervezas. Cambiar a un café de especialidad cerraría mejor la comida.	2	constructivo
Bar	La relación calidad-precio está equilibrada. Ni muy caro ni especialmente barato.	4	neutral
Bar	Las servilletas son de esas de papel que no limpian nada, solo esparcen la suciedad. Detalles que dicen mucho.	2	crítico
Bar	El local huele un poco a humedad. Deberían ventilar mejor o revisar el sistema de extracción de la cocina.	3	crítico
Mesón	Llegamos con la cocina casi cerrada, pero nos prepararon unos huevos rotos con jamón que nos supieron a gloria benedita.	5	anecdótico
Restaurante	El maridaje propuesto es una obra de arte en sí misma. Profesionales de primer nivel.	5	formal
Bar	Interesante propuesta de autor. El precio es ligeramente elevado para el sector.	4	formal
Cafetería	La vajilla es ergonómica y el café se sirve con la presión de máquina adecuada.	5	neutral
Bar de carretera	El zumo de naranja no era natural a pesar de que el cartel decía que sí. El café al menos estaba pasable.	3	crítico
Restaurante	El personal de sala parece no haber recibido formación alguna. Falta de profesionalidad total.	2	crítico
Bar	Los calamares estaban algo chiclosos. Si fueran frescos en lugar de congelados, vuestro bar subiría de nivel seguro.	3	constructivo
Cervecería	Tienen mucha variedad en botella, pero la carta no está actualizada y pedí tres que no tenían. Revisar el stock evitaría decepciones.	3	constructivo
Mesón	Sopa de cocido con sabor intenso y bien desgrasada.	4	neutral
Bar	Personal con actitud colaboradora y profesional. El local está decorado con gusto.	4	formal
Cervecería	La cerveza de la casa es muy suave y equilibrada, pero le falta un poco más de gas para mi gusto personal.	4	constructivo
Pub	Mucho calor.	3	breve
Pub	Llegamos con reserva y nos pusieron en una mesa pegada al baño. El olor era insoportable y nadie nos quiso cambiar de sitio.	2	anecdótico
Cervecería	El local es muy espacioso, pero las mesas están tan juntas que a veces escuchas más la conversación de al lado que la tuya.	4	constructivo
Bar	Uso de ingredientes de baja calidad en la coctelería de autor. Decepcionante.	2	formal
Bar de carretera	Un lugar ideal para practicar el ayuno intermitente, porque después de ver la cocina se te quitan las ganas de comer durante días.	2	sarcástico
Restaurante	Sabor a detergente en los entrantes. Claramente no lavan bien los utensilios de cocina.	1	crítico
Bar	El pincho de tortilla es gloria bendita, ¡tenéis que probarlo!	5	coloquial
Pub	Pésimo.	1	breve
Bar	Precios geniales.	5	breve
Cafetería	La experiencia global no alcanzó los niveles mínimos de satisfacción esperados por el precio.	2	neutral
Mesón	El personal es diligente y resuelve las dudas sobre los platos.	5	neutral
Bar de carretera	¡Atención de diez! Te hacen sentir como en casa desde el primer momento. La comida muy rica, aunque me hubiera gustado que el pan fuera integral.	4	entusiasta
Bar	Las bravas pican lo justo y están para chuparse los dedos.	5	coloquial
Restaurante	¡Es el paraíso de los gourmets! La calidad de la materia prima es sencillamente insuperable.	5	entusiasta
Bar	El establecimiento no cumple con los horarios de apertura.	1	neutral
Restaurante	El sorbete de limpieza fue tan efectivo que he olvidado hasta mis deudas. ¡Magia gastronómica!	5	sarcástico
Pub	Tardaron media hora en atendernos en la barra y el garito estaba medio vacío. Unos pasotas.	1	coloquial
Bar de carretera	Raciones de calidad y rapidez máxima.	5	breve
Pub	Estábamos en la terraza y nos pusieron la estufa de gas, pero a los cinco minutos se acabó el gas y nadie vino a cambiarla.	3	anecdótico
Bar de carretera	Parking enorme y comida espectacular.	5	breve
Cafetería	El mejor café del barrio, sin duda.	5	breve
Bar de carretera	Atención familiar, raciones grandes.	4	breve
Bar de carretera	Me dieron el cambio en monedas de cinco céntimos, pero el bocadillo de chorizo estaba tan tierno que les perdoné el peso en el bolsillo.	4	sarcástico
Bar de carretera	El dueño te cobra con una cara de alegría que te hace sentir que le estás robando por pagar 12 euros por un filete de plástico.	2	sarcástico
Pub	No vuelvo.	1	breve
Pub	Bien para una.	3	breve
Pub	Fui a ver el fútbol y la tele se apagó justo en el minuto 90. Nadie supo cómo encenderla y nos perdimos el final.	2	anecdótico
Pub	Me sacaron la copa en un vaso de plástico todo rayado habiendo vasos de cristal limpios en el estante. Muy feo.	2	anecdótico
Bar de carretera	Servicio amable y muy eficiente. Limpio.	4	breve
Pub	Robo total.	1	breve
Restaurante	Manejo del nitrógeno líquido con sentido y sabor. No es solo espectáculo, es cocina real.	5	constructivo
Pub	Siempre que vienen amigos de fuera los traigo aquí porque sé que no me van a fallar.	5	coloquial
Bar de carretera	Increíble despliegue de tecnología: el microondas debe ser de la época del Sputnik por cómo deja los bordes del bocadillo: radioactivos pero fríos por dentro.	2	sarcástico
Mesón	Mucha cantidad, poca calidad. Es el sitio ideal si tu objetivo en la vida es el colesterol alto.	2	sarcástico
Restaurante	El confit de pato estaba algo seco. Una salsa adicional habría equilibrado el plato.	3	constructivo
Bar	Las raciones de oreja están muy ricas, pero se sirven con poco pan. Un par de rebanadas más por ración sería lo justo.	3	constructivo
Mesón	El chuletón era tan grande que tuvimos que pedir ayuda a la mesa de al lado para terminarlo entre risas.	5	anecdótico
Bar de carretera	Si buscas un lugar donde el cliente sea lo último, ¡enhorabuena! Aquí el personal te trata con el desprecio que te mereces por entrar.	1	sarcástico
Mesón	Raciones escasas para los precios tan inflados que tienen. Un timo total.	1	crítico
Restaurante	¡Todo riquísimo! El tataki de salmón se deshacía. El sitio es súper moderno y está muy limpio. Le dolió un poco a la cartera, pero volveremos.	4	coloquial
Cafetería	Excelente ubicación y un interiorismo que invita a prolongar la estancia. Un diez.	5	formal
Bar de carretera	Un lugar ruidoso y mal gestionado. No hay nadie al mando y se nota en el caos que tienen con las comandas.	2	crítico
Cervecería	El mejor sitio para probar cervezas raras y ricas.	5	breve
Pub	Me encantó la decoración de barcos antiguos, pero me pasé toda la noche esquivando a un camarero que iba como una moto.	3	anecdótico
Cafetería	Trato educado, falta algo de espacio.	4	breve
Cafetería	Higiene de la barra ausente.	1	breve
Pub	La decoración con neones queda genial en las fotos, pero la luz rosa te acaba cansando la vista después de un rato.	3	anecdótico
Mesón	El cocido estaba aguado y sin apenas carne. Una estafa en toda regla.	1	crítico
Restaurante	Servicio muy atento, aunque el sumiller debería mejorar el asesoramiento en vinos locales.	3	constructivo
Cervecería	Buscábamos un sitio para ver la final y, aunque estaba lleno, nos hicieron un hueco junto a la barra. Gritamos el gol con media ciudad y una birra helada.	5	anecdótico
Cafetería	Estaba buscando un regalo y me recomendaron su pack de café en grano. A mi hermano le ha encantado.	5	anecdótico
Bar	Indignante. La cerveza está tan fría que se me ha congelado hasta el pensamiento. Casi pierdo un diente por vuestra eficiencia.	4	sarcástico
Pub	La ventilación es nula. Salí de allí que parecía que me había bañado en un cenicero.	1	coloquial
Cafetería	Caro, lento y muy sucio.	1	breve
Cafetería	El local es tan pequeño que desayuné prácticamente en el regazo del señor de la mesa de al lado. Muy acogedor.	2	sarcástico
Mesón	Producto en mal estado que supuso una experiencia gastronómica lamentable. No es recomendable.	1	formal
Mesón	La comida es buena, pero vi al camarero tocar el pan con las manos. Usar pinzas es fundamental por higiene.	3	constructivo
Pub	Atención de lujo.	5	breve
Restaurante	Es inaceptable que en un restaurante de este nivel las mesas estén tan juntas que escuches la conversación de al lado. Privacidad nula y ambiente muy ruidoso.	2	crítico
Pub	Correcto sin más.	3	breve
Cervecería	Entré a por una pinta rápida antes del cine. El local estaba a tope de humo de la cocina y salí oliendo a fritanga de forma exagerada. La cerveza estaba muy bien tirada, eso sí.	3	anecdótico
Pub	Vaso sucio.	2	breve
Pub	Pedimos una jarra de cerveza para compartir y el asa se rompió al levantarla. Menos mal que no nos cortamos.	2	anecdótico
Pub	Ambiente raro.	3	breve
Cervecería	Pedimos una tabla de quesos y el pan estaba duro de varios días. Sugiero comprar pan fresco a diario para no bajar la calidad.	2	constructivo
Cafetería	Los bizcochos son de elaboración diaria y el café tiene un cuerpo adecuado.	5	neutral
Pub	Estuvimos celebrando la Navidad y el cotillón que nos dieron era muy completo, pero el local estaba demasiado lleno.	4	anecdótico
Restaurante	La cristalería y vajilla son de lujo, pero la comida llegó templada a la mesa.	3	crítico
Pub	Copas bien puestas, pero la carta de precios brilla por su ausencia y luego te llevas el susto.	3	coloquial
Cafetería	Muy limpio y café exquisito.	5	breve
Bar	El personal de seguridad mostró una actitud poco educada hacia los clientes. Poco recomendable.	2	formal
Bar	Hacía años que no encontraba un bar donde te pusieran una tapa de paella recién hecha con la primera caña. Me sentí en el paraíso.	5	anecdótico
Cafetería	Pésimo servicio. Tardaron media hora y encima frío.	1	breve
Pub	Terraza genial.	4	breve
Bar de carretera	Pedí un filete al punto y me trajeron una suela de bota carbonizada. Ideal si tienes déficit de hierro o si quieres afilar los dientes.	2	sarcástico
Bar de carretera	La decoración con cabezas de jabalí llenas de polvo te vigila mientras intentas digerir ese croquetón de procedencia dudosa. Dos estrellas por el suspense.	2	sarcástico
Bar	Calidad aceptable y precios justos. Volveré.	4	breve
Cafetería	Cinco euros por un café aguado. Claramente el agua venía de un manantial sagrado del Himalaya y yo no me enteré.	1	sarcástico
Cervecería	Sitio top pero se llena demasiado por la tarde.	4	breve
Restaurante	Vajilla sucia y copas con marcas de labios. En un sitio de este precio es imperdonable.	1	crítico
Pub	Poco ambiente.	3	breve
Cervecería	El sábado pasado fuimos un grupo de diez. El sitio es precioso, pero nos obligaron a pedir un menú cerrado de picoteo que era carísimo para lo que traía. La cerveza artesana salvó la noche, pero la cartera sufrió.	3	anecdótico
Restaurante	La selección de quesos era mínima y nos cobraron un suplemento disparatado.	3	crítico
Mesón	No vuelvo ni loco. Ha sido la peor comida de mi vida en un mesón.	1	crítico
Mesón	El servicio de camareros es profesional y conocen bien la carta.	5	neutral
Restaurante	Cocina tailandesa de gran nivel técnico. El pad thai estaba bien ejecutado, aunque echamos en falta el toque de lima que pedimos aparte.	4	neutral
Restaurante	La comida india de aquí es cosa fina. El picante está controlado y los sabores son brutales. Tardaron un poco en traernos la cuenta, pero nada grave.	4	coloquial
Cervecería	Buen servicio y rapidez en barra. Algo caro.	4	breve
Restaurante	Mucho nombre y estrellas, pero la comida de un bar de carretera tiene más sabor y cariño.	1	crítico
Restaurante	Carta de postres algo limitada; faltan opciones para quienes no quieren tanto chocolate.	3	constructivo
Bar de carretera	El zumo de naranja tenía más pepitas que fruta. Fue como beber y comer pipas al mismo tiempo, toda una experiencia multitarea.	2	sarcástico
Cervecería	Ambiente de diez y precios que no te dejan temblando.	5	coloquial
Bar de carretera	Si te gusta el riesgo extremo, pide la ensaladilla rusa. Es como jugar a la ruleta rusa pero con mahonesa de hace tres veranos.	1	sarcástico
Bar de carretera	¡Qué rapidez y qué simpatía! Los bocadillos están muy bien despachados. Le pongo 4 estrellas porque el hilo musical estaba un pelín alto.	4	entusiasta
Bar	El local carece de ventilación y el aire es pesado.	1	neutral
Restaurante	La ejecución del bacalao a baja temperatura fue correcta. El ambiente es sofisticado, ideal para una cena de negocios tranquila.	4	neutral
Cafetería	¡Qué detalle que el baño no tenga jabón! Así podemos llevarnos los gérmenes de recuerdo a casa.	1	sarcástico
Cafetería	Café de bajísima calidad con un sabor amargo y metálico. Experiencia muy pobre.	1	formal
Pub	Sucio, oscuro y con gente muy rara. Fatal.	1	breve
Cafetería	Pastelería industrial, café normal.	3	breve
Restaurante	Servicio de sumillería brillante con una narrativa que enriquece la experiencia enológica.	5	formal
Cafetería	El rincón de sofás es cómodo, pero la tela se ve desgastada; una renovación le daría un aire más limpio.	3	constructivo
Mesón	La sopa de ajo te resucita, ¡qué maravilla! Un poco de sal de más, pero muy auténtica.	4	coloquial
Bar	Poca transparencia en los precios de los fuera de carta.	1	neutral
Bar	Tapa pequeña y pan duro. No me gustó.	2	breve
Mesón	Si quieres comer de verdad y dejarte de tonterías, este es tu sitio. ¡Espectacular!	5	coloquial
Pub	Ideal para la post-cena, pero molaría que tuvieran alguna opción de postre dulce.	4	coloquial
Bar	Muy mal. La tarta de postre era casera. Ahora tengo que ir al gimnasio una hora extra por vuestra culpa. No tenéis corazón.	4	sarcástico
Pub	Local con mucho rollo y camareros muy simpáticos.	5	breve
Bar de carretera	Basura acumulada en la barra.	1	breve
Cervecería	¡Amo este lugar! Tienen una rotación de grifos constante, así que siempre hay algo nuevo y sorprendente que probar. ¡Un lujo!	5	entusiasta
Mesón	Aceite de la aceitera rancio y de mala calidad.	2	crítico
Pub	Precios de carta que no coinciden con lo cobrado finalmente en el ticket. Error grave.	2	formal
Bar	¡La mejor relación calidad-precio de la historia! Copas premium a precios de barrio. ¡Es un auténtico regalo!	5	entusiasta
Cafetería	La mejor atención al cliente.	5	breve
Cafetería	Me senté en la terraza a ver pasar a la gente, es un sitio estratégico, aunque los coches pasan muy cerca.	4	anecdótico
Mesón	El pan es artesano y se sirve en cantidad suficiente.	4	neutral
Bar de carretera	No aceptan tarjeta bajo ningún concepto y no hay ningún aviso previo. Te obligan a usar su cajero con comisiones abusivas.	2	crítico
Cervecería	Cerveza artesana de la buena, me flipa el rollo del local.	5	coloquial
Restaurante	He comido mejor en cualquier franquicia de comida rápida que en este 'templo' del lujo.	1	crítico
Pub	Bebidas aguadas y carísimas. Una estafa.	1	breve
Mesón	La sopa de ajo tenía tanto aceite que el gobierno de EE. UU. está planeando una invasión al plato.	2	sarcástico
Cafetería	Zumo de bote a precio de natural.	2	breve
Mesón	El pisto era puro aceite con muy poca verdura.	2	crítico
Pub	¡Increíble decoración y música! El sitio tiene mucha alma, ¡si el precio fuera un pelín más bajo les daría 5 estrellas!	4	entusiasta
Mesón	Fue el refugio perfecto durante una tormenta de verano; café de puchero, lluvia en los cristales y buena charla.	5	anecdótico
Cafetería	Las mermeladas son caseras y deliciosas, pero deberían poner un poco más de cantidad en la ración.	4	constructivo
Bar	El trato por parte de los dueños es correcto y profesional. Local bien mantenido.	4	neutral
Bar de carretera	Cocina ininterrumpida con productos frescos y raciones equilibradas. Rigor profesional.	5	formal
Pub	Mis amigos me dieron una sorpresa aquí y el staff ayudó a esconderlos para que yo no sospechara nada.	5	anecdótico
Cafetería	El zumo de naranja presenta una acidez natural acorde con la temporada.	3	neutral
Cafetería	Personal simpático, algo de espera.	4	breve
Mesón	Cantidades generosas. El local necesita una reforma.	4	breve
Pub	Muy ruidoso.	3	breve
Pub	Hicimos una cata improvisada de ginebras gracias a las sugerencias del barman. Una noche súper amena.	5	anecdótico
Cafetería	Mobiliario funcional pero requiere una limpieza más profunda en las zonas comunes.	3	formal
Restaurante	Buena ejecución técnica en los guisos de caza. El ciervo estaba en su punto, aunque el ambiente del local era algo ruidoso para ser un restaurante de este tipo.	4	neutral
Cervecería	Servicio de sala algo desorganizado en la gestión de pedidos de comida caliente.	3	formal
Restaurante	El pan estaba reseco y nos lo cobraron a precio de oro. Vergonzoso.	2	crítico
Cervecería	Llevé a un amigo extranjero que no cree en la cerveza española y salió de aquí diciendo que es la mejor que ha probado en Europa. Misión cumplida.	5	anecdótico
Bar	Qué bien tiran la cerveza, con su medida justa de espuma.	5	coloquial
Bar de carretera	Precios abusivos. Nos clavaron 15 euros por dos cafés y dos tostadas quemadas. Un auténtico robo al viajero.	1	crítico
Bar	Si queréis sufrir, venid. Los torreznos crujen tanto que no escucho los chismes que me cuenta mi vecina.	5	sarcástico
Bar de carretera	Cobro de suplementos por terraza no indicados en la lista de precios oficial.	1	formal
Pub	Está bien ubicado, pero aparcar por allí es una odisea de las gordas.	3	coloquial
Mesón	Vino de la casa con un toque a vinagre de Módena ideal para ensaladas, pero difícil de beber en copa.	2	sarcástico
Mesón	Pedimos agua natural y nos la trajeron del grifo cobrándola como embotellada.	1	crítico
Restaurante	Nos sentaron en una mesa coja junto a la basura. En un restaurante de lujo es de chiste.	1	crítico
Bar de carretera	Si quieres ver cómo era la vida antes de que se inventara la sonrisa, este es tu bar. El menú del día es contundente, ideal para no volver a comer en tres días.	3	sarcástico
Pub	Inexistencia de información clara sobre precios y suplementos en la carta de servicios.	1	formal
Restaurante	Presencia de elementos ajenos a la comida en uno de los platos. Higiene muy comprometida.	1	formal
Pub	El portero nos vaciló en la entrada sin motivo. Unos chulos que no saben tratar a la gente.	1	coloquial
Mesón	Salí de allí con la sensación de que el mundo todavía es un lugar amable. Gracias por la comida y por el trato.	5	anecdótico
Cafetería	Publicidad engañosa con los desayunos.	2	breve
Cafetería	Trato irrespetuoso por parte de los empleados. Falta total de profesionalidad.	1	formal
Pub	Porteros agresivos.	1	breve
Restaurante	El curry en este restaurante indio gourmet carecía de profundidad. Sabía a especias crudas, como si no hubieran cocinado la base el tiempo suficiente.	2	crítico
Pub	Pedí una cerveza y me dieron un vaso que todavía tenía marcas de labios de otra persona. El nivel de higiene es inexistente en este antro.	1	anecdótico
Bar	El baño olía fatal desde el salón. Asco.	1	breve
Bar	Fatal servicio. El barman sabía exactamente qué quería beber antes de que yo abriera la boca. Me da miedo su telepatía.	5	sarcástico
Cervecería	El local estaba lleno de moscas sobre las tapas de la barra. Qué asco me dio, de verdad.	1	coloquial
Bar de carretera	Bocadillos potentes. Lo malo es que no tienen apenas opciones para vegetarianos, solo ensalada mixta básica.	4	crítico
Pub	Cero ambiente.	2	breve
Mesón	La sopa de ajo estaba aguada y carecía de sabor.	2	crítico
Cervecería	Buen rollito total y las jarras bien frías. ¡De locos!	5	coloquial
Restaurante	Servicio de guante blanco y comida deliciosa.	4	breve
Cervecería	Quedé con una chica de una app y el sitio era ideal para romper el hielo. Las IPAs estaban ricas, pero cuando pedimos algo de picar nos dijeron que la cocina estaba cerrada a las 22:00 un viernes. Nos cortó el rollo.	3	anecdótico
Bar	Me flipan los pinchos de la barra, están súper currados.	5	coloquial
Cafetería	Fui con prisa y me prepararon el pedido para llevar en un tiempo récord sin perder la calidad.	5	anecdótico
Pub	Estuvimos celebrando un cumple y nos regalaron una ronda de chupitos, pero luego nos cobraron suplemento por cada silla extra.	3	anecdótico
Bar de carretera	Buen acceso desde la autovía. El servicio es correcto, aunque la televisión estaba con el volumen demasiado alto.	4	crítico
Restaurante	Materia prima que no se corresponde con los estándares de la alta cocina. Una decepción.	1	formal
Cafetería	Tienen productos de proximidad muy buenos, pero deberían publicitarlos más para ponerlos en valor.	4	constructivo
Cafetería	Servicio de primera y café rico.	5	breve
Bar de carretera	Higiene deficiente en la zona de manipulación de alimentos a la vista del público.	2	formal
Bar de carretera	No pierdas tu tiempo aquí.	1	breve
Mesón	Sin más. Un mesón típico que cumple pero no destaca.	3	breve
Mesón	Servicio extremadamente lento. Estuvimos dos horas para comer dos platos.	1	crítico
Bar de carretera	El hilo musical son grandes éxitos de gasolinera que no sabías que existían. El bocadillo de tortilla cumplió su función nutritiva sin demasiados dramas.	3	sarcástico
Cafetería	¡Un descubrimiento total! Me he quedado sin palabras con la calidad. ¡Uau!	5	entusiasta
Mesón	Encontré un pelo en la sopa y el camarero ni siquiera pidió disculpas.	1	crítico
Bar de carretera	Trato irrespetuoso por parte del personal de barra hacia los transportistas. Inaceptable.	1	formal
Cervecería	El baño no tenía papel ni jabón y el olor era muy fuerte. Una revisión cada hora mejoraría mucho la imagen del negocio.	2	constructivo
Cafetería	El servilletero estaba vacío, supongo que para que aprendamos a usar la manga como en los viejos tiempos.	1	sarcástico
Bar	Indignado me hallo. El barman sabe mi nombre y lo que tomo. Siento que me espían, o que son demasiado eficientes.	4	sarcástico
Restaurante	El ritmo de los platos es pausado pero constante. Un consejo: venid sin prisa y disfrutad.	5	constructivo
Mesón	Un mesón de los de verdad, sin tonterías y con mucha chicha en el plato.	4	coloquial
Mesón	Baños pequeños y con mantenimiento mejorable.	3	neutral
Cafetería	La atención telefónica para reservas es inexistente o el personal no atiende las llamadas.	2	neutral
Cafetería	El aire acondicionado estaba tan fuerte que vi a Elsa de Frozen pidiendo un chocolate en la mesa de al lado.	1	sarcástico
Mesón	Raciones tan grandes que parece que te estén preparando para el invierno nuclear. Lástima el sabor.	2	sarcástico
Pub	Sitio con mucha clase. Las copas son premium.	4	breve
Cafetería	El servicio de terraza conlleva un suplemento que no se ve reflejado en una mayor agilidad.	2	neutral
Mesón	La sopa de ajo mantiene la receta tradicional y se sirve caliente.	5	neutral
Restaurante	Esperaba mucho más de un chef con ese renombre. Una ejecución muy irregular.	3	crítico
Bar de carretera	Carne a la brasa exquisita. Muy rápido.	5	breve
Restaurante	La bodega es vasta y selecta. La ejecución técnica de los pescados es casi impecable.	4	formal
Bar de carretera	Si buscas un lugar 'chic', este es el sitio opuesto. Aquí el único lujo es que la tortilla no sea de bote y que el café no sepa a quemado.	4	sarcástico
Restaurante	Servicio de sala coreografiado con elegancia y discreción. Una velada memorable.	5	formal
Bar	Muy concurrido, ambiente vivo.	4	breve
Restaurante	Una bodega que es un museo vivo. Pedid visitar la cava si el sumiller tiene un momento libre.	5	constructivo
Pub	Nos pusieron en una mesa al lado de la puerta y nos quedamos pajaritos con la corriente.	2	coloquial
Cervecería	El trato de los camareros es excelente, aunque a veces se nota que les falta personal en las horas puntas del fin de semana.	4	constructivo
Bar	¡La cerveza más fría de todo el barrio! Da gusto venir aquí a relajarse después del trabajo. ¡Totalmente recomendado!	5	entusiasta
Mesón	Servicio estándar. La calidad de los entrantes fue superior a la de los platos principales.	3	formal
Restaurante	¡Qué bueno estaba el bacalao! El sitio tiene un rollazo increíble y la música está al volumen justo. Me dolió un poco pagar el agua a ese precio, la verdad.	4	coloquial
Cafetería	Evitad este sitio a toda costa.	1	breve
Bar de carretera	Buen sitio para camioneros. Platos contundentes, aunque echo de menos alguna opción más saludable o ligera en el menú.	4	crítico
Bar	Fatal atención. El camarero me trajo la cuenta antes de que pudiera empezar a quejarme de la lentitud. Me habéis quitado mi hobby.	5	sarcástico
Bar de carretera	El camarero de la barra fue increíblemente borde cuando le pedí un poco más de leche para el café.	2	crítico
Mesón	Si buscas una experiencia rústica, este es tu sitio: polvo auténtico y servicio de la edad de piedra.	2	sarcástico
Pub	Estuvimos en la zona de sofás y son comodísimos para pasar la tarde, lástima que la mesa bailara un poco y se vertiera la birra.	4	anecdótico
Pub	Baños mejorables.	4	breve
Bar de carretera	¡Buenísimo todo! El bocadillo de lomo con queso estaba jugosísimo. Un servicio eficiente y una sonrisa en cada plato.	5	entusiasta
Bar de carretera	El trato es tan cercano que el camarero me tosió encima mientras me preguntaba si quería postre. Eso es confianza y lo demás son tonterías.	2	sarcástico
Cervecería	La cerveza sabía a tubería limpia. Muy raro.	2	breve
Pub	Sillas incómodas.	3	breve
Mesón	El asado estaba recalentado y se notaba seco.	2	crítico
Pub	Trato cordial por parte del equipo de barra. La limpieza de los aseos es constante.	4	formal
Mesón	Mi hijo se dejó su juguete favorito y el personal nos lo envió por correo a casa sin querer cobranos nada. ¡Gente de diez!	5	anecdótico
Cafetería	Estaba buscando un regalo y me vendieron un pack de café genial, aunque la bolsa se rompió al salir.	4	anecdótico
Cafetería	El sitio es precioso para fotos de Instagram, pero la silla era tan incómoda que a los diez minutos quería irme.	3	anecdótico
Cafetería	El local cuenta con una decoración sobria y el producto es de alta gama.	5	neutral
Cafetería	El café presenta un tueste natural y la bollería se percibe como producto del día.	4	neutral
Bar de carretera	El aire acondicionado no funcionaba y el calor dentro era insoportable. No hicieron nada por intentar refrescar el local.	1	crítico
Mesón	He traído a unos amigos de fuera y han alucinado. ¡Éxito total!	5	coloquial
Mesón	No disponen de conexión wifi para los clientes.	3	neutral
Bar de carretera	El servicio fue bastante lento a pesar de que no había mucha gente. El café estaba excesivamente amargo y quemado.	3	crítico
Pub	Mal servicio.	1	breve
